Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
2014,130,"Action, Comedy, Mystery",3.6,526,Samir Tewari,Arshad Warsi,Soha Ali Khan,Javed Jaffrey
1991,131,Comedy,6.0,35,Shashank Khaitan,Asif Basra,Kiara Advani,Bhumi Pednekar
2004,95,Comedy,5.3,6,Aditya Om,Rajendra Gupta,Aditya Om,Nandana Sen
2005,131,Comedy,5.2,60,Dev Anand,Dev Anand,Prem Chopra,Milind Gunaji
2005,136,"Comedy, Fantasy",3.6,466,Antara Mali,Satchit Puranik,Antara Mali,Riteish Deshmukh
1955,157,"Comedy, Musical, Romance",7.2,500,Guru Dutt,Madhubala,Guru Dutt,Lalita Pawar
1997,133,"Comedy, Drama, Romance",6.4,35,David Dhawan,Akshay Kumar,Juhi Chawla,Paresh Rawal
2006,131,"Mystery, Thriller",4.5,47,Piyush Kumar,Narendra Bedi,Mahima Chaudhry,Bobby Darling
1937,131,Unknown,6.0,35,Sorabji Kerawala,Anwari,Indubala,Sorabji Kerawala
1936,131,Unknown,6.0,35,Nanubhai Vakil,Chanda Bai,Hadi,Jal Merchant
1994,123,"Action, Comedy, Drama",4.2,95,Rama Rao Tatineni,Anil Kapoor,Niki Walia,Ishrat Ali
1996,140,Comedy,5.4,332,Bhagyaraj,Anil Kapoor,Sridevi,Nagarjuna Akkineni
1992,127,"Action, Adventure, Thriller",4.3,622,Raj N. Sippy,Akshay Kumar,Sheeba,Saathi Ganguly
1956,131,Unknown,6.0,35,Shanti Prakash Bakshi,Unknown,Unknown,Unknown
2007,110,"Comedy, Drama, Romance",4.0,21,Partho Ghosh,Kishore Anand Bhanushali,Mushtaq Khan,Shahbaaz Khan
1987,179,"Action, Comedy, Drama",7.8,35,Shekhar Kapur,Anil Kapoor,Sridevi,Amrish Puri
1961,179,"Comedy, Crime, Drama",6.8,31,G.P. Sippy,Geeta Bali,I.S. Johar,Helen
1943,131,Unknown,6.0,35,Radha,Unknown,Unknown,Unknown
1959,131,"Comedy, Crime",6.0,35,Inder,Helen,Iftekhar,Lalita Pawar
2017,93,Comedy,4.8,53,Seema Kapoor,Annu Kapoor,Rajveer Singh,Om Puri
1956,131,Action,6.0,35,Nisar Ahmad Ansari,Sheikh Mukhtar,Suraiya,Nisar Ahmad Ansari
2014,52,"Drama, War",6.0,35,Akash Sagar Chopra,Anmol Karnik,Ashok Mishra,Akash Sagar Chopra
1991,131,Romance,6.0,35,Unknown,Unknown,Unknown,Unknown
1969,131,Unknown,6.0,35,Nisar Ahmad Ansari,Nisar Ahmad Ansari,Nakhi Jahan,Rajan Kapoor
1979,148,"Action, Comedy, Romance",6.6,35,Rakesh Kumar,Amitabh Bachchan,Rekha,Ajit
2019,131,Comedy,6.0,35,Vijay Bhola,Surendra Namdeo,Yashpal Sharma,Mita Vashisht
1958,131,"Action, Adventure",6.0,35,Kalpataru,Amarnath,Master Bhagwan,Nazir Kashmiri
1958,131,Comedy,6.0,35,Shyama,Johnny Walker,Mehmood,Kumkum
2002,131,Action,6.0,35,Gayatri Jayaraman,Shrikanth,Sneha,Unknown
1996,162,"Action, Comedy, Romance",5.5,161,K.S. Ravi,Prabhu Deva,Shilpa Shetty Kundra,Madhoo
1974,138,"Drama, Romance",6.7,17,Subhash Mukherjee,Shashi Kapoor,Rinku Jaiswal,Kiran Kumar
1952,165,Comedy,7.4,27,S.S. Vasan,Motilal,Padmini,Kanhaiyalal Chaturvedi
2010,118,Drama,4.2,178,Pravesh Bhardwaj,Prashant Narayanan,Aruna Shields,Naved Aslam
1963,131,Action,6.0,35,Kamran,Krishna Kumari,Pahalwan,Unknown
2008,130,"Action, Comedy, Crime",3.3,194,Deepak S. Shivdasani,Sunil Shetty,Arshad Warsi,Sadashiv Amrapurkar
1957,120,"Crime, Drama, Mystery",5.5,20,Nanabhai Bhatt,Ashok Kumar,Nalini Jaywant,Ragini
1938,131,Unknown,6.0,35,Dwarka Khosla,Indurani,Rose,Unknown
1987,120,Fantasy,7.0,5,Khwaja Ahmad Abbas,Amol Palekar,Shabana Azmi,Tom Alter
2015,133,"Action, Crime, Drama",3.8,35,Vikram Bhatt,Emraan Hashmi,Amyra Dastur,Tanmay Bhat
1964,126,"Romance, Sci-Fi, Thriller",6.3,110,Shantilal Soni,Kishore Kumar,Kumkum,Randhir
2004,131,Drama,6.0,35,Rajendra Prasad,Kota Srinivasa Rao,Unknown,Unknown
2017,108,Drama,5.8,6,Ritesh s Kumar,Rose Laskar,Manoj Kumar Rao,Aaditya Singh
1975,131,Drama,6.0,35,Rajendra Nath Shukla,Rakesh Pandey,Yogeeta Bali,Manisha
1977,119,Drama,6.6,114,Mrinal Sen,Ajit Banerjee,Samit Bhanja,Mithun Chakraborty
2000,131,Action,6.0,35,Shuchi Arora,Ram Asra,Arun Bakshi,Rakesh Bedi
1997,158,"Action, Drama, Musical",2.5,378,Mehul Kumar,Amitabh Bachchan,Dimple Kapadia,Karisma Kapoor
1997,150,"Action, Drama",7.3,424,Prakash Jha,Shabana Azmi,Madhuri Dixit,Ayub Khan
2020,89,"Drama, Thriller",6.0,35,Prasadh Inamdar,Sudhir Dalvi,Sharib Hashmi,Satish Kaushik
2021,131,Action,6.0,35,Anushree Mehta,Radhika Apte,Rajesh Sharma,Akshay Kapoor
2015,96,"Drama, Romance",6.5,202,Shiladitya Moulik,Anjali Patil,Jafar Abbas,Satyakam Anand
2020,106,"Crime, Drama, Thriller",4.8,35,Shirish Kunder,Jacqueline Fernandez,Manoj Bajpayee,Mohit Raina
1991,131,Drama,6.0,35,Ashima Chibber,Rani Mukerji,Unknown,Unknown
2015,134,"Action, Comedy, Drama",6.6,35,Gurmeet Ram Rahim Singh,Muntazir Ahmad,Charanpreet Insan,Honeypreet Insan
2016,120,"Action, Adventure, Fantasy",6.7,35,Gurmeet Ram Rahim Singh,Muntazir Ahmad,Ashok Insan,Bhushan Insan
2015,197,"Action, Comedy, Drama",5.8,35,Jeetu Arora,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Daniel Kaleb
2017,111,"Comedy, Drama",2.5,6,Girish Juneja,Annu Kapoor,Akhilendra Mishra,Pankaj Berry
2017,156,"Comedy, Romance",5.5,35,Anees Bazmee,Anil Kapoor,Arjun Kapoor,Ileana D'Cruz
2012,131,Documentary,5.9,8,Geetika Narang Abbasi,Anandana Kapur,Unknown,Unknown
1960,131,"Drama, Family",6.0,6,Tiwari,Mehmood,Anita Guha,Bharat Bhushan
2019,132,"Action, Drama",8.6,699,Rakesh Sawant,Hiten Tejwani,Anjali Pandey,Manoj Joshi
2018,114,Drama,7.2,13,Mahmood Khan,Yash Baba,Utkarsh Bajpayee,Nikhil Bansal
2003,155,Drama,3.9,29,Saurabh Shukla,Prashant Narayanan,Rekha Vedavyasa,Aditya Srivastav
2020,106,Drama,6.0,35,Uttar Kumar,Kavita Joshi,Vikas Balian,Usha Devi
1986,135,"Action, Comedy, Crime",6.0,48,K. Bapaiah,Sadashiv Amrapurkar,Vikas Anand,Asrani
1991,131,Thriller,6.0,35,Kalpana,Lalitha,Sudha,Suresh
2021,131,"Action, Thriller",6.0,35,Pragabhal,Yuvan,Ridhaan Krishna,Suresh Anusha
2009,140,Drama,6.0,35,Krishnan Seshardi Gomatam,Sricharan,Anuja Iyer,C.P. Satyajit
2009,131,Mystery,6.3,7,Shakir Shah,Kaluram Dhobale,Milind Gunaji,Ali Khan
1932,131,Unknown,6.0,35,J.J. Madan,Khurshid Begum,Mukhtar Begum,Unknown
1991,131,Unknown,6.0,35,Unknown,Unknown,Unknown,Unknown
2020,131,Biography,6.0,35,Ashish Kumar Kashyap,Sujata Choudhary,Anup Jalota,Mohit Kanoujia
1989,131,Romance,6.0,35,Padma Khanna,Arvind Kumar,Shreeram Lagoo,Sanjiv Luthra
1995,131,Romance,6.0,35,Ashok Khanna,Rita Bhaduri,Birbal,Roopadevi
1983,133,"Drama, Romance",6.5,45,Rama Rao Tatineni,Rati Agnihotri,Mithun Chakraborty,Rekha
1963,95,"Action, Crime, Drama",6.6,91,Moni Bhattacharjee,Sunil Dutt,Waheeda Rehman,Nirupa Roy
2014,51,Family,6.0,35,Sahoj Parashar,Harshit Parashar,Maanvi Bharadwaj,Unknown
2005,131,Action,6.0,35,Sai Kumar,Rami Reddy,Kasi Vishwanath,Unknown
1985,118,"Action, Drama",6.0,35,Subhash Sharma,Bharat Bhushan,Mazhar Khan,Mukesh Khanna
2001,135,"Drama, Romance",5.0,35,Satish Kaushik,Tusshar Kapoor,Kareena Kapoor,Amrish Puri
2001,131,"Comedy, Musical, Family",4.2,95,Harry Baweja,Rekha,Naseeruddin Shah,Arshad Warsi
1969,131,Unknown,6.0,35,Datta Dharmadhikari,Ved Bhushan,Uma Khosla,Agha Pal
1984,131,"Action, Drama, Thriller",6.0,35,Sharad Chaudhary,Madhavi,Vinod Mehra,Suresh Oberoi
1983,131,"Action, Drama",5.6,5,Shibu Mitra,Mahendra Sandhu,Neeta Mehta,Deepika Chikhalia
1999,131,Romance,6.0,35,Unknown,Unknown,Unknown,Unknown
1992,95,Drama,6.1,25,Gopi Desai,Salim Amrohi,Irrfan Khan,Amit Phalke
2011,106,"Comedy, Drama, Romance",6.9,35,Nupur Asthana,Saqib Saleem,Saba Azad,Nishant Dahiya
2004,163,"Comedy, Romance",6.7,35,David Dhawan,Salman Khan,Akshay Kumar,Priyanka Chopra Jonas
1989,131,"Action, Crime",5.3,151,Umesh Mehra,Mithun Chakraborty,Madhuri Dixit,Suresh Oberoi
1944,131,Unknown,6.0,35,Nitin Bose,Leela Desai,Motilal,Lala Yaqoob
1958,131,"Drama, Thriller",6.6,21,O.P. Ralhan,Shammi Kapoor,Ragini,Shubha Khote
1965,131,Thriller,6.0,35,Bela Bose,Paidi Jairaj,Shyam Kumar,D.K. Sapru
1986,131,Action,6.0,35,Satyanarayana Kaikala,Manjula,Jaya Prada,Unknown
2008,132,"Crime, Drama, Mystery",6.9,388,Mani Shankar,Sammir Dattani,Rahul Dev,Om Puri
2017,131,Drama,6.9,11,Shekhar Ramesh Mishra,Ravikant Sinha,Sahil Ansari,Raja Awasthi
1988,142,Drama,7.0,27,I.V. Sasi,Mammootty,Rahman,Chitra
1977,150,"Crime, Drama, Romance",7.2,66,Raj Tilak,Shashi Kapoor,Sanjeev Kumar,Vidya Sinha
1960,131,Drama,6.0,35,Nalini Jaywant,Anant Kumar,Krishna Kumari,Sulochana Latkar
1998,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1937,155,Unknown,6.0,35,P.C. Barua,P.C. Barua,Kanan Devi,Nawab
2002,131,"Drama, Thriller",2.9,7,K. Ravi Shankar,Vinay Anand,Arun Bakshi,Rita Bhaduri
1948,131,Drama,6.0,35,Munshi Dil,Naseem Banu,Prem Adib,Mumtaz Ali
1993,131,Drama,6.0,35,Ramanand Yadav,Chandni,Gajendra Chauhan,Yasmin Khan
2018,140,Drama,6.9,35,Anubhav Sinha,Taapsee Pannu,Rishi Kapoor,Neena Gupta
1963,120,"Crime, Drama",6.0,35,Nisar Ahmad Ansari,Nisar Ahmad Ansari,Helen,Pradeep Kumar
1988,156,Drama,4.8,25,K.S.R. Das,Jeetendra,Hema Malini,Shatrughan Sinha
2016,73,"Drama, Fantasy, Mystery",6.8,12,Esshan Katara,Masoom Shankar,Charul Bhavsar,Rituraj Singh Rathore
2010,131,Drama,6.0,35,Rajiv S. Ruia,Aditya Raj Kapoor,Unknown,Unknown
2014,100,"Drama, Horror, Mystery",2.7,192,Hemant Madhukar,Karanvir Bohra,Vedita Pratap Singh,Veena Malik
2015,135,Drama,1.6,43,Sachindra Sharma,Shakti Kapoor,Prashant Narayanan,Aditya Pancholi
2016,100,Family,4.8,27,Karan Radhakrishna,Chetanya Adib,Jhuma Biswas,Alibail Blackburn
2008,131,Drama,6.0,35,Sanjay Jha,Cyrus Barocha,Mandira Bedi,Rahul Bose
2008,130,Drama,5.9,110,Jahnu Barua,Rahul Dholakia,Rituparno Ghosh,Shashanka Ghosh
2014,120,"Comedy, Romance",5.7,339,Satish Rajwade,Shiv Panditt,Piaa Bajpai,Naisha Arora
2017,131,Drama,6.0,35,Shivom Yadav,Sheena Lakhani,Sanjeev Pandey,Unknown
2005,131,"Action, Crime, Drama",3.4,20,Deepak Balraj Vij,Seema Biswas,Vikram Singh,Bhumika
2004,131,Action,6.0,35,Devi Prasad,Atul Kulkarni,Aryan Rajesh,Unknown
2011,131,"Action, Comedy, Crime",5.4,8,Musavir Jaleel,Aman Mihani,Mohsin,Muzzi
2003,125,"Romance, Comedy",5.2,268,Anant Balani,Rahul Bose,Perizaad Zorabian,Vijay Raaz
2008,134,Drama,7.7,35,Nishikant Kamat,Paresh Rawal,Kay Kay Menon,Irrfan Khan
2003,131,Thriller,6.0,35,Anjali Kolhapuri,Raza Murad,Shariq,Unknown
2013,136,"Action, Crime, Thriller",4.9,114,Ankush Bhatt,Sachiin Joshi,Prakash Raj,Vimala Raman
2021,135,"Action, Crime",6.1,35,Sanjay Gupta,John Abraham,Emraan Hashmi,Mahesh Manjrekar
2007,131,"Comedy, Drama",4.8,182,Manoj Tyagi,Linda Arsenio,Shaurya Chauhan,Alisha Chinai
2003,146,"Action, Comedy, Drama",3.3,548,Apoorva Lakhia,Abhishek Bachchan,Lara Dutta,Chunky Panday
2012,131,Action,6.0,35,Babu Bhatt,Unknown,Unknown,Unknown
2005,146,Comedy,6.6,68,Singeetam Srinivasa Rao,Kamal Haasan,Manisha Koirala,Om Puri
2021,131,"Action, Drama, Thriller",6.0,35,Santosh Sivan,Vikrant Massey,Vijay Sethupathi,Tanya Maniktala
2012,77,Drama,6.4,153,Manjeet Singh,Rahul Bairagi,Dhanshree Jain,Arbaaz Khan
2020,124,"Action, Drama",6.0,35,Arhaan,Rani Agarwal,Rajesh Banik,Rajesh Bonik
2011,90,"Comedy, Crime, Thriller",5.2,24,Atlanta Nagendra,Alieesa P Badresia,Rafiq Batcha,Chrissy Chambers
1963,131,"Drama, Family",6.0,35,Narendra Dev,Ameeta,Jagdish Kanwal,Sudesh Kumar
2011,121,"Comedy, Drama",4.9,40,Pammi Somal,Kirron Kher,Kanwaljit Singh,Jackie Shroff
1944,131,"Drama, History",6.0,35,Kidar Nath Sharma,Khurshid Begum,Jehanara Kajjan,Madhubala
1957,131,Drama,6.0,35,Ram Daryani,Paidi Jairaj,Sheila Ramani,Veena
1983,131,Drama,6.0,35,Subhash Gupta,Mahesh Jain,Veena Mehta,S.M. Zaheer
2018,131,"Action, Comedy, Drama",6.0,35,Sanoj Mishra,Vikrant Anand,Chandani,Sonam Mishra
1955,163,"Comedy, Musical, Romance",7.4,94,Subodh Mukherji,Dev Anand,Nalini Jaywant,Ameeta
1972,124,Drama,5.3,7,Jugal Kishore,Anil Dhawan,Yogeeta Bali,Ramesh Deo
2008,51,Drama,6.0,35,Eliyas Qureshi,Sai Gundewar,Eliyas Qureshi,Zeba Rizvi
1954,139,Unknown,6.0,35,Khwaja Ahmad Abbas,David Abraham,Sulochana Chatterjee,Jagdeep
1969,131,Unknown,6.0,35,Phani Majumdar,Unknown,Unknown,Unknown
2003,156,"Comedy, Drama",8.1,35,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh
2014,128,Comedy,3.2,13,Shareeph Mansuri Saranawala,Ms. Jordiya Anna,Razak Khan,Omkar Das Manikpuri
2017,140,"Action, Drama, Music",3.3,35,Sabir Khan,Tiger Shroff,Nidhhi Agerwal,Nawazuddin Siddiqui
1975,131,Animation,7.0,5,Bhimsain,Unknown,Unknown,Unknown
1999,136,"Action, Crime, Drama",4.0,24,Kanti Shah,Dharmendra,Sapna Sappu,Durgesh Nandini
2005,131,Thriller,6.0,35,Kishan Shah,Vishwajeet Soni,Monica Tripathi,Vinod Tripathi
2014,150,History,6.0,35,Kurien Varnassala,Lalu Alex,Saikumar,Unknown
1942,133,Unknown,5.8,8,Nanabhai Bhatt,Babubhai Mistry,Fearless Nadia,Lala Yaqoob
1979,127,"Action, Adventure, Drama",6.5,20,Rajkumar Kohli,Sunil Dutt,Shatrughan Sinha,Rajesh Khanna
1993,162,"Action, Crime, Drama",4.2,171,Rama Rao Tatineni,Govinda,Karisma Kapoor,Farha Naaz
1970,131,Action,6.0,35,Hercules,Indira,Azaad Irani,Kamran
2005,131,Action,6.0,35,Linda Arsenio,Gopika,Srikanth,Prithviraj Sukumaran
1941,131,Drama,6.0,35,Jayant Desai,Unknown,Unknown,Unknown
1978,131,Musical,6.0,35,Bindu,Ranjeet,Unknown,Unknown
1996,131,Action,5.5,13,K.C. Bokadia,Vinod Khanna,Zeba Bakhtiar,Aditya Pancholi
1990,131,Unknown,6.0,35,Madhavi,Unknown,Unknown,Unknown
1996,131,Crime,5.6,32,T.L.V. Prasad,Mithun Chakraborty,Ayesha Jhulka,Rohit Kumar Sharma
1978,189,"Drama, Family",5.5,36,Ravi Tandon,Shashi Kapoor,Rekha,Parikshit Sahni
1950,131,Unknown,6.0,35,Iftekhar,Nalini Jaywant,Kishore Kumar,Sajjan
1990,131,Action,3.6,24,Rama Rao Tatineni,Vinod Khanna,Shabana Azmi,Vijayshanti
1987,171,"Action, Comedy, Drama",4.8,48,Prakash Mehra,Raaj Kumar,Rakhee Gulzar,Raj Babbar
1978,189,"Drama, Romance",7.5,35,Prakash Mehra,Amitabh Bachchan,Vinod Khanna,Rakhee Gulzar
2002,131,Documentary,6.0,35,Pankaj Shukla,Sudesh Bhonsle,Prakash Mehra,Unknown
1983,131,Drama,6.0,35,K. Thakur,Neeta Mehta,Deepak Parashar,Rameshwari
1946,131,Crime,6.0,35,Gunjlal,Unknown,Unknown,Unknown
1961,131,Unknown,6.0,35,Nari Ghadiali,Chitra,Shah Agha,Master Rajdeep
2016,131,"Comedy, Drama",6.2,9,Suzad Iqbal Khan,Sanjay Singh,Asrani,Natalya Llina
1999,131,Horror,6.0,35,Kishan Shah,Shakti Kapoor,Jyoti Rana,Anuradha Sawant
1976,131,Documentary,6.0,35,Saeed Akhtar Mirza,Om Puri,Unknown,Unknown
1985,131,Comedy,7.0,5,Navin Kumar,Sudhir Dalvi,Kunal Kapoor,Roma Manik
2000,131,Horror,6.0,35,Dinesh Thakkar,Amit Pachori,Muskan,Vijay Solanki
2004,130,"Drama, Romance, Thriller",5.4,35,Anurag Basu,Mallika Sherawat,Ashmit Patel,Emraan Hashmi
2011,127,"Action, Crime, Drama",6.2,35,Mohit Suri,Emraan Hashmi,Jacqueline Fernandez,Prashant Narayanan
2013,124,"Drama, Mystery, Thriller",4.9,35,Vishesh Bhatt,Randeep Hooda,Aditi Rao Hydari,Sara Loren
1991,131,"Crime, Thriller",6.0,35,Diwakar Naik,Unknown,Unknown,Unknown
1971,131,Mystery,6.0,35,A. Salaam,Jaymala Adarsh,Ramesh Bhatia,Bela Bose
1970,131,Thriller,6.0,35,Sayeeda Khan,Sujit Kumar,Sohrab Modi,Unknown
2018,112,Mystery,6.0,35,Rupalee Verma,Atul Kulkarni,Rupesh Tillu,Taranjit Kaur
1935,131,Unknown,6.0,35,Patience Cooper,Gul Hamid,Indubala,Mazhar Khan
2010,131,"Action, Crime, Thriller",3.7,23,Himanshu Bhatt,Ayub M. Khan,Jackie Shroff,Samir Aftab
1991,131,Thriller,6.0,35,Shiva Dagar,Unknown,Unknown,Unknown
1991,131,Thriller,6.0,35,Shiva Dagar,Unknown,Unknown,Unknown
1957,149,Drama,7.4,100,Hrishikesh Mukherjee,Shekhar,Suchitra Sen,Bipin Gupta
1940,131,Unknown,6.0,35,Chaturbhuj Doshi,Noor Mohammad Charlie,Khurshid Begum,Vasanti
1986,131,Drama,6.2,15,Jabbar Patel,Rekha,Naseeruddin Shah,Moon Moon Sen
2004,151,"Action, Crime, Drama",5.5,35,Sanjay Gupta,Anil Kapoor,Sameera Reddy,Aditya Pancholi
1955,131,"Drama, Family",6.0,35,M. Sadiq,Om Prakash,Karan Dewan,Jayant
2019,130,Horror,4.8,352,Rajiv S. Ruia,Pooja Bisht,Rajniesh Duggall,Nazia Hussain
2009,131,Drama,6.0,35,Lavlin Thadani,Unknown,Unknown,Unknown
2018,131,Reality-TV,6.0,35,Unknown,Unknown,Unknown,Unknown
2016,140,Musical,6.0,35,Tanuja Shankar Khan,Piyush Mishra,Paintal,Shivansu Sachan
1991,131,Musical,6.0,35,Paparao Biyyala,Prakash Raj,Suhasini Mulay,Vinay Varma
2019,101,"Drama, Romance",6.3,598,Sarthak Dasgupta,Neena Gupta,Divya Dutta,Manav Kaul
2020,74,Drama,7.5,8,Ronit Jadhav,Ronit Jadhav,Unknown,Unknown
2004,127,"Mystery, Romance",4.4,193,Rohit Manash,Rohit Krishnakant Nayyar,Manish Robin,Manish Sharma
1943,131,Unknown,6.0,35,Ram Kamlani,Dwarka Khosla,Vedi,Gope
1992,135,"Comedy, Drama",7.0,296,Priyadarshan,Jay Mehta,Revathi,Annu Kapoor
2017,132,Romance,5.7,31,J.S. Randhawa,J.S. Randhawa,Sonal Mudgal,Sanjay Mishra
2010,131,"Comedy, Horror, Romance",4.2,13,P. Som Shekar,Mukesh S. Bhatt,Rajshree Choudhary,Arijit Sen Gupta
1993,163,"Action, Drama",7.1,314,Kodanda Rami Reddy A.,Chiranjeevi,Meena,Roja
1996,131,Action,4.3,7,Tinnu Anand,Kumar Gaurav,Poonam Dhillon,Vikas Anand
1995,132,"Action, Comedy, Drama",7.6,35,K.S. Ravikumar,Rajinikanth,Meena,Sarath Babu
1975,131,Unknown,6.0,35,Surendra Shailaj,Mallika Sarabhai,Rakesh Pandey,Jayshree T.
2013,131,"Drama, Musical",6.0,35,Suman Maitra,Seerat Alam,Daya Shankar Pandey,Ashutosh Rana
2017,134,Drama,5.5,28,Harish Kumar,Dev Sharma,Aishwarya Devan,Mursaleem Qureshi
2015,136,Documentary,6.7,82,Nakul Singh Sawhney,Shubhradeep Chakravorty,Meera Chaudhary,Nakul Singh Sawhney
2019,131,Drama,6.5,8,Shoib Nikash Shah,Varun Choudhary,Azmat Khwaja,Shoib Nikash Shah
2010,90,"Documentary, Drama",7.3,27,Seong-gyou Lee,Unknown,Unknown,Unknown
2018,95,Thriller,5.5,258,Samir Soni,Nora Fatehi,Elena Kazan,Suparna Moitra
2005,120,"Drama, Sport",7.2,35,Onir,Sanjay Suri,Juhi Chawla,Purab Kohli
2020,106,"Mystery, Thriller",6.2,672,Prabhakar Meena Bhaskar Pant,Sharib Hashmi,Pushkar Bhaskar Pant,Anjali Patil
2013,119,"Comedy, Drama, Romance",7.4,24,Stanley Joseph,Zenia Starr,Romin Khan,James Morcan
2006,131,Comedy,6.0,35,Rahul Kapoor,Kumar Gaurav,Bhairavi Goswami,Tanny Jones
2021,80,Drama,7.4,63,Arpa Khan,Kamalika Chanda,Deep Kumar Singh,Unknown
1984,96,"Action, Adventure, Comedy",7.5,391,Jijo Punnoose,Arvind,Sonia,Suresh
2005,131,Drama,6.0,35,Madhavan,Pooja Umashankar,Unknown,Unknown
2000,131,Thriller,6.0,35,Unknown,Unknown,Unknown,Unknown
2018,126,Drama,6.0,35,Chandan Kumar,Aakansha Kadre,Meenal Kapoor,Jagat Rawat
1975,131,Documentary,6.0,35,Ismat Chughtai,Unknown,Unknown,Unknown
2006,95,"Comedy, Drama, Romance",4.7,617,Rajeev Virani,Jason Lewis,Kashmira Shah,Gulshan Grover
2016,104,Drama,6.2,13,Suzad Iqbal Khan,Pramod Goswami,Narendra Jha,Sagar Nath Jha
1974,131,Action,6.0,35,Rehman,Utpal Dutt,Rajeev,Prema Narayan
2007,190,Animation,4.6,156,Rajiv S. Ruia,Ahsaas Channa,Upasna Singh,Kiran Janjani
2008,117,"Animation, Family",4.4,59,Rajiv S. Ruia,Aayush Shah,Harsh Chhaya,Kurush Deboo
2010,131,"Animation, Action, Comedy",4.4,45,Rajiv S. Ruia,Rahul Pendkalkar,Baba Sehgal,Makarand Anaspure
2020,131,Comedy,6.0,35,Rajiv S. Ruia,Unknown,Unknown,Unknown
2011,100,"Comedy, Crime, Drama",5.3,348,Raaghav Dar,Prateik,Kalki Koechlin,Arjun Mathur
2017,87,Romance,6.4,26,Prashamit Chaudhury,Op Rai,Mudasir Zafar,Shaina Baweja
2021,131,Drama,6.0,35,Shoib Nikash Shah,Azmat Khwaja,Namita Lal,Shoib Nikash Shah
2010,122,Drama,3.1,8,Rati Agnihotri,Prem Chopra,Shakti Kapoor,Mahinder Shera
1970,143,Romance,6.9,23,S. Sukhdev,Shashi Kapoor,Sharmila Tagore,Rajendranath Malhotra
2008,131,"Action, Comedy, Crime",3.5,467,Eeshwar Nivas,Nikhil Dwivedi,Amrita Rao,Mithun Chakraborty
2010,165,Drama,8.0,35,Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon
1991,131,Drama,6.0,35,Rupesh Paul,Dev Rathee,Raju Kher,Hemant Kapadia
2011,67,Documentary,6.0,35,Sameera Jain,Unknown,Unknown,Unknown
2019,57,"Comedy, Drama, Family",6.0,35,Priyanka Tanwar,Bharati Jaffrey,Sudeepta Singh,Srishti Rindani
2018,131,Documentary,6.0,35,Shreya Kant,Vikas Kailash,Anita Raghvan,Unknown
1993,131,Romance,6.0,35,Iqbal Channa,Pankaj Berry,Goga Kapoor,Anupam Kher
2013,88,"Drama, Music",6.0,35,Jeremy Etienne,Julienne Rathore,Unknown,Unknown
2009,131,Drama,6.0,35,Kewal Singh,Gurpreet Ghuggi,Puneet Issar,Manisha
2005,103,"Drama, Mystery, Thriller",6.1,890,Jijy Philip,Anil Kapoor,Suchitra Krishnamoorthi,Nandana Sen
2020,131,Drama,6.0,35,Rufy Khan,Rufy Khan,Ashraf Nagoo,Lokesh Kumari Sharma
2012,120,Drama,6.5,13,Ranjan Shandilya,Kanwaljit Singh,Yashpal Sharma,Malay Chakrabarty
2018,134,"Drama, Romance",5.7,13,Anil Dhoble,Meera Joshi,Sukanya Surve,Sandeep Sharma
2004,131,Thriller,4.3,6,Vinod Chhabra,Dhananjay Chauhan,Prem Chopra,Aarti Puri
2015,115,"Action, Crime, Drama",7.2,35,Navdeep Singh,Anushka Sharma,Neil Bhoopalam,Darshan Kumaar
1988,131,Romance,6.0,35,Pradeep Kumar,Jamuna,Pradeep Kumar,Chandra Mohan
2015,120,Comedy,6.0,35,Manish Anjarlekar,Ajay Shankar,Vijay Chavan,Aadil Sharma
2010,131,"Comedy, Drama",6.1,274,Rahul Aggarwal,Om Puri,Paresh Rawal,Neena Gupta
1938,131,Unknown,6.0,35,R.N. Vaidya,Protima Dasgupta,Nurjahan,Baburao Pahelwan
2011,132,Romance,5.4,9,Pammi Somal,Lillete Dubey,Gurpreet Ghuggi,Gary Gill
2002,158,"Comedy, Drama, Musical",5.0,35,Arjun Sablok,Saif Ali Khan,Hrithik Roshan,Esha Deol
1971,131,Animation,3.8,9,Bhimsain,Unknown,Unknown,Unknown
1949,145,Romance,6.0,35,Ravindra Dave,Shyam Kumar,Suraiya,Wasti
2004,150,"Drama, Musical, Romance",4.2,580,Ram Gopal Varma,Abhishek Bachchan,Antara Mali,Riteish Deshmukh
1959,131,Unknown,6.0,35,R.S. Tara,Ashok Kumar,Anoop Kumar,Shubha Khote
1992,182,Action,4.1,20,S.K. Subash,Abhimanyyu Abhimanyu,Govinda,Aruna Irani
1976,132,Romance,5.8,14,Yakub Hasan Rizvi,Shashi Kapoor,Hema Malini,Rajendranath Malhotra
1986,131,"Drama, Family",7.2,28,Rama Rao Tatineni,Sudha Chandran,Shekhar Suman,Aruna Irani
1958,131,Unknown,6.0,35,Vinod Desai,Manher Desai,Lalita Pawar,Nirupa Roy
1976,133,Fantasy,6.0,35,S.N. Tripathi,Kanan Kaushal,Shahi Kapoor,Padma Khanna
